,mean_abs_shap
NAME_INCOME_TYPE_Working,0.06648374999999998
NAME_EDUCATION_TYPE_Secondary / secondary special,0.039453124999999985
NAME_INCOME_TYPE_Commercial associate,0.03560458333333334
NAME_INCOME_TYPE_Pensioner,0.030531458333333338
NAME_EDUCATION_TYPE_Higher education,0.02697218750000002
AGE_GROUP_30s,0.02676229166666665
WALLSMATERIAL_MODE_Panel,0.026483645833333333
EXT_SOURCE_2,0.02501416666666667
EXT_SOURCE_3,0.023874583333333303
ORGANIZATION_TYPE_FREQ,0.02320291666666666
OBS_60_CNT_SOCIAL_CIRCLE,0.020445729166666676
"WALLSMATERIAL_MODE_Stone, brick",0.020434270833333348
AMT_REQ_CREDIT_BUREAU_YEAR,0.018132395833333342
OBS_30_CNT_SOCIAL_CIRCLE,0.018017812499999987
OCCUPATION_TYPE_Laborers,0.017904791666666666
NONLIVINGAREA_MODE,0.015915312499999987
YEARS_EMPLOYED,0.015013854166666661
FLAG_OWN_CAR,0.014739166666666668
IS_FIXED,0.014640729166666673
NAME_TYPE_SUITE_Unaccompanied,0.013852604166666666
